电路名,电路类型,总时间,传输时间,计算时间,内存占用,门数
sc26_jch_nq8_nm3_c8,jch,542.099619,42.948913,436.208946,276242432.00,295
sc26_jch_nq8_nm4_c16,jch,0,0,0,0,0,nlocal 超出可用范围
sc26_jch_nq8_nm4_c4,jch,552.176227,63.482676,442.952200,275886080.00,280
sc26_jch_nq8_nm4_c8,jch,1589.477134,761.843130,769.117518,454209536.00,400
sc26_jch_nq8_nm5_c16,jch,0,0,0,0,0,nlocal 超出可用范围
sc26_jch_nq8_nm5_c4,jch,545.937817,49.409031,435.698279,276594688.00,350
sc26_jch_nq8_nm5_c8,jch,39496.385396,39081.946794,364.577465,17365704704.00,505
sc26_jch_nq8_nm6_c16,jch,0,0,0,0,0,nlocal 超出可用范围
sc26_jch_nq8_nm6_c4,jch,1362.713553,792.154533,507.139100,454180864.00,420
sc26_jch_nq8_nm6_c8,jch,0,0,0,0,0,nlocal 超出可用范围
sc26_jch_nq8_nm7_c16,jch,0,0,0,0,0,nlocal 超出可用范围
sc26_jch_nq8_nm7_c4,jch,12394.112965,11912.564163,415.227749,4480634880.00,490
sc26_jch_nq8_nm7_c8,jch,0,0,0,0,0,nlocal 超出可用范围
sc26_jch_nq9_nm3_c16,jch,1255.126066,783.866688,399.713871,454270976.00,385
sc26_jch_nq9_nm3_c4,jch,487.775397,26.731222,406.599821,275427328.00,215
sc26_jch_nq9_nm3_c8,jch,550.373959,45.157415,435.598958,279162880.00,300
sc26_jch_nq9_nm4_c16,jch,0,0,0,0,0,nlocal 超出可用范围
sc26_jch_nq9_nm4_c4,jch,508.536021,42.255653,415.583138,275361792.00,285
sc26_jch_nq9_nm4_c8,jch,1262.009301,693.316089,506.228035,454463488.00,405
sc26_jch_nq9_nm5_c16,jch,0,0,0,0,0,nlocal 超出可用范围
sc26_jch_nq9_nm5_c4,jch,751.092226,121.301814,565.938599,279265280.00,355
sc26_jch_nq9_nm5_c8,jch,32148.988925,31916.566380,161.252314,17365618688.00,510
